Stazioni;Data;T-MIN;T-MAX
Campoli Appennino;05/02/2020;-0,4;6,9
Campoli Appennino;06/02/2020;0,9;6,9
Campoli Appennino;07/02/2020;0,5;10,0
Campoli Appennino;08/02/2020;2,8;11,9
Campoli Appennino;09/02/2020;3,6;11,3
Campoli Appennino;10/02/2020;5,3;8,4
Campoli Appennino;11/02/2020;8,6;12,5
Campoli Appennino;12/02/2020;6,3;14,4
Campoli Appennino;13/02/2020;5,5;12,3
Campoli Appennino;14/02/2020;5,6;14,5
Campoli Appennino;15/02/2020;6,2;13,1
Campoli Appennino;16/02/2020;4,7;13,4
Campoli Appennino;17/02/2020;5,2;13,3
Campoli Appennino;18/02/2020;4,3;13,6
Campoli Appennino;19/02/2020;4,6;12,1
Campoli Appennino;20/02/2020;4,7;11,8
Campoli Appennino;21/02/2020;3,6;13,3
Campoli Appennino;22/02/2020;5,0;13,8
Campoli Appennino;23/02/2020;5,8;15,4
Campoli Appennino;24/02/2020;4,6;14,9
Campoli Appennino;25/02/2020;6,0;15,0
Campoli Appennino;26/02/2020;1,2;12,7
Campoli Appennino;27/02/2020;0,3;10,5
Campoli Appennino;28/02/2020;4,2;13,6
Campoli Appennino;29/02/2020;4,2;12,1
Canino rlazio;01/02/2020;10,9;13,4
Canino rlazio;02/02/2020;11,0;17,3
Canino rlazio;03/02/2020;10,8;19,5
Canino rlazio;04/02/2020;6,7;18,6
Canino rlazio;05/02/2020;2,7;13,3
Canino rlazio;06/02/2020;4,1;12,7
Canino rlazio;07/02/2020;-0,8;15,6
Canino rlazio;08/02/2020;-0,6;16,1
Canino rlazio;09/02/2020;1,1;14,1
Canino rlazio;10/02/2020;9,9;13,6
Canino rlazio;11/02/2020;6,8;19,4
Canino rlazio;12/02/2020;4,5;17,8
Canino rlazio;13/02/2020;3,6;16,1
Canino rlazio;14/02/2020;8,5;18,6
Canino rlazio;15/02/2020;5,3;17,5
Canino rlazio;16/02/2020;3,0;18,4
Canino rlazio;17/02/2020;3,2;16,5
Canino rlazio;18/02/2020;6,5;18,7
Canino rlazio;19/02/2020;4,4;16,1
